size,density,noise_level,start,goal,bellman_ford_path,bellman_ford_cost
10,0.2,0.0,0,1,,inf
10,0.2,0.0,0,2,"[0, 2]",866.0
10,0.2,0.0,0,3,"[0, 8, 3]",1186.0
10,0.2,0.0,0,4,"[0, 4]",646.0
10,0.2,0.0,0,5,"[0, 7, 5]",1095.0
10,0.2,0.0,0,6,"[0, 8, 6]",1199.0
10,0.2,0.0,0,7,"[0, 7]",392.0
10,0.2,0.0,0,8,"[0, 8]",435.0
10,0.2,0.0,0,9,"[0, 2, 9]",1676.0
10,0.2,0.0,1,2,"[1, 9, 2]",883.0
10,0.2,0.0,1,3,"[1, 0, 8, 3]",1458.0
10,0.2,0.0,1,4,"[1, 0, 4]",918.0
10,0.2,0.0,1,5,"[1, 5]",539.0
10,0.2,0.0,1,6,"[1, 9, 6]",338.0
10,0.2,0.0,1,7,"[1, 9, 7]",631.0
10,0.2,0.0,1,8,"[1, 0, 8]",707.0
10,0.2,0.0,1,9,"[1, 9]",73.0
10,0.2,0.0,2,3,"[2, 9, 7, 8, 3]",2317.0
10,0.2,0.0,2,4,"[2, 9, 7, 4]",1754.0
10,0.2,0.0,2,5,"[2, 9, 7, 5]",2071.0
10,0.2,0.0,2,6,"[2, 9, 6]",1075.0
10,0.2,0.0,2,7,"[2, 9, 7]",1368.0
10,0.2,0.0,2,8,"[2, 9, 7, 8]",1566.0
10,0.2,0.0,2,9,"[2, 9]",810.0
10,0.2,0.0,3,4,"[3, 4]",717.0
10,0.2,0.0,3,5,"[3, 4, 0, 7, 5]",2458.0
10,0.2,0.0,3,6,"[3, 2, 9, 6]",1768.0
10,0.2,0.0,3,7,"[3, 4, 0, 7]",1755.0
10,0.2,0.0,3,8,"[3, 4, 0, 8]",1798.0
10,0.2,0.0,3,9,"[3, 2, 9]",1503.0
10,0.2,0.0,4,5,"[4, 0, 7, 5]",1741.0
10,0.2,0.0,4,6,"[4, 0, 8, 6]",1845.0
10,0.2,0.0,4,7,"[4, 0, 7]",1038.0
10,0.2,0.0,4,8,"[4, 0, 8]",1081.0
10,0.2,0.0,4,9,"[4, 3, 2, 9]",2220.0
10,0.2,0.0,5,6,"[5, 4, 0, 8, 6]",2380.0
10,0.2,0.0,5,7,"[5, 4, 0, 7]",1573.0
10,0.2,0.0,5,8,"[5, 4, 0, 8]",1616.0
10,0.2,0.0,5,9,"[5, 4, 3, 2, 9]",2755.0
10,0.2,0.0,6,7,"[6, 7]",628.0
10,0.2,0.0,6,8,"[6, 7, 8]",826.0
10,0.2,0.0,6,9,"[6, 7, 2, 9]",2264.0
10,0.2,0.0,7,8,"[7, 8]",198.0
10,0.2,0.0,7,9,"[7, 2, 9]",1636.0
10,0.2,0.0,8,9,"[8, 3, 2, 9]",2254.0
10,0.2,1.0,0,1,,inf
10,0.2,1.0,0,2,"[0, 7, 2]",198.0
10,0.2,1.0,0,3,"[0, 7, 8, 3]",604.0
10,0.2,1.0,0,4,"[0, 7, 4]",-531.0
10,0.2,1.0,0,5,"[0, 7, 5]",444.0
10,0.2,1.0,0,6,"[0, 7, 8, 6]",-423.0
10,0.2,1.0,0,7,"[0, 7]",-520.0
10,0.2,1.0,0,8,"[0, 7, 8]",-1086.0
10,0.2,1.0,0,9,"[0, 7, 2, 9]",288.0
10,0.2,1.0,1,2,"[1, 5, 4, 0, 7, 2]",750.0
10,0.2,1.0,1,3,"[1, 5, 4, 3]",816.0
10,0.2,1.0,1,4,"[1, 5, 4]",-431.0
10,0.2,1.0,1,5,"[1, 5]",-82.0
10,0.2,1.0,1,6,"[1, 5, 4, 0, 7, 8, 6]",129.0
10,0.2,1.0,1,7,"[1, 5, 4, 0, 7]",32.0
10,0.2,1.0,1,8,"[1, 5, 4, 0, 7, 8]",-534.0
10,0.2,1.0,1,9,"[1, 9]",412.0
10,0.2,1.0,2,3,"[2, 9, 7, 8, 3]",2211.0
10,0.2,1.0,2,4,"[2, 9, 7, 4]",1076.0
10,0.2,1.0,2,5,"[2, 9, 7, 5]",2051.0
10,0.2,1.0,2,6,"[2, 9, 6]",872.0
10,0.2,1.0,2,7,"[2, 9, 7]",1087.0
10,0.2,1.0,2,8,"[2, 9, 7, 8]",521.0
10,0.2,1.0,2,9,"[2, 9]",90.0
10,0.2,1.0,3,4,"[3, 4]",1127.0
10,0.2,1.0,3,5,"[3, 4, 0, 7, 5]",2554.0
10,0.2,1.0,3,6,"[3, 4, 0, 7, 8, 6]",1687.0
10,0.2,1.0,3,7,"[3, 4, 0, 7]",1590.0
10,0.2,1.0,3,8,"[3, 4, 0, 7, 8]",1024.0
10,0.2,1.0,3,9,"[3, 2, 9]",1357.0
10,0.2,1.0,4,5,"[4, 0, 7, 5]",1427.0
10,0.2,1.0,4,6,"[4, 0, 7, 8, 6]",560.0
10,0.2,1.0,4,7,"[4, 0, 7]",463.0
10,0.2,1.0,4,8,"[4, 0, 7, 8]",-103.0
10,0.2,1.0,4,9,"[4, 0, 7, 2, 9]",1271.0
10,0.2,1.0,5,6,"[5, 4, 0, 7, 8, 6]",211.0
10,0.2,1.0,5,7,"[5, 4, 0, 7]",114.0
10,0.2,1.0,5,8,"[5, 4, 0, 7, 8]",-452.0
10,0.2,1.0,5,9,"[5, 4, 0, 7, 2, 9]",922.0
10,0.2,1.0,6,7,"[6, 7]",552.0
10,0.2,1.0,6,8,"[6, 7, 8]",-14.0
10,0.2,1.0,6,9,"[6, 7, 2, 9]",1360.0
10,0.2,1.0,7,8,"[7, 8]",-566.0
10,0.2,1.0,7,9,"[7, 2, 9]",808.0
10,0.2,1.0,8,9,"[8, 6, 7, 2, 9]",2023.0
10,0.2,0.5,0,1,,inf
10,0.2,0.5,0,2,"[0, 7, 2]",708.0
10,0.2,0.5,0,3,"[0, 7, 8, 3]",972.0
10,0.2,0.5,0,4,"[0, 7, 4]",124.0
10,0.2,0.5,0,5,"[0, 7, 5]",770.0
10,0.2,0.5,0,6,"[0, 7, 8, 6]",466.0
10,0.2,0.5,0,7,"[0, 7]",-64.0
10,0.2,0.5,0,8,"[0, 7, 8]",-248.0
10,0.2,0.5,0,9,"[0, 7, 2, 9]",1158.0
10,0.2,0.5,1,2,"[1, 9, 2]",858.0
10,0.2,0.5,1,3,"[1, 5, 4, 3]",1304.0
10,0.2,0.5,1,4,"[1, 5, 4]",322.0
10,0.2,0.5,1,5,"[1, 5]",229.0
10,0.2,0.5,1,6,"[1, 9, 6]",766.0
10,0.2,0.5,1,7,"[1, 0, 7]",453.0
10,0.2,0.5,1,8,"[1, 0, 7, 8]",269.0
10,0.2,0.5,1,9,"[1, 9]",242.0
10,0.2,0.5,2,3,"[2, 9, 7, 8, 3]",2263.0
10,0.2,0.5,2,4,"[2, 9, 7, 4]",1415.0
10,0.2,0.5,2,5,"[2, 9, 7, 5]",2061.0
10,0.2,0.5,2,6,"[2, 9, 6]",974.0
10,0.2,0.5,2,7,"[2, 9, 7]",1227.0
10,0.2,0.5,2,8,"[2, 9, 7, 8]",1043.0
10,0.2,0.5,2,9,"[2, 9]",450.0
10,0.2,0.5,3,4,"[3, 4]",922.0
10,0.2,0.5,3,5,"[3, 4, 0, 7, 5]",2506.0
10,0.2,0.5,3,6,"[3, 2, 9, 6]",1954.0
10,0.2,0.5,3,7,"[3, 4, 0, 7]",1672.0
10,0.2,0.5,3,8,"[3, 4, 0, 7, 8]",1488.0
10,0.2,0.5,3,9,"[3, 2, 9]",1430.0
10,0.2,0.5,4,5,"[4, 0, 7, 5]",1584.0
10,0.2,0.5,4,6,"[4, 0, 7, 8, 6]",1280.0
